,School Name,City,State,Admission Rate,In-State Tuition,Student to Faculty Ratio,Student Population Size,On-Campus Housing Cost,Off-Campus Housing Cost,Degree of Urbanization,"Median Earnings, 7 Years after Entering College",Average SAT Score
1720,Hannibal-LaGrange University,Hannibal,MO,0.6711,25600,11,397,9400,9000,"Rural Town, Urban Cluster 35 miles away from an urban area",36298,1042
1732,Lindenwood University,Saint Charles,MO,0.7402,19300,13,4627,10200,15360,"City, Population < 100,000",42897,1177
1741,Missouri Baptist University,Saint Louis,MO,0.709,33316,19,1508,12040,8249,"Suburb, Population >= 250,000",36667,1147
1742,Missouri Southern State University,Joplin,MO,0.9948,8026,17,3245,7624,7108,"City, Population < 100,000",36021,1089
1743,Missouri Valley College,Marshall,MO,0.6124,22450,13,1269,10300,8420,"Rural Town, Urban Cluster 35 miles away from an urban area",34863,1000
1745,University of Missouri-Columbia,Columbia,MO,0.7913,11981,18,23206,10890,10890,"City, Population Size between 100,000 and 250,000",49864,1249
1746,University of Missouri-Kansas City,Kansas City,MO,0.6948,11287,14,6479,12262,12270,"City, Population Size >= 250,000",45269,1231
1748,University of Missouri-St Louis,Saint Louis,MO,0.5111,11693,13,5378,10920,12376,"Suburb, Population >= 250,000",44698,1146
1752,Truman State University,Kirksville,MO,0.4505,9014,13,2920,9936,9936,"Rural Town, Urban Cluster 35 miles away from an urban area",41820,1246
1753,Northwest Missouri State University,Maryville,MO,0.8556,9502,18,4679,10428,10428,"Rural Town, Urban Cluster 35 miles away from an urban area",39762,1089
1755,College of the Ozarks,Point Lookout,MO,0.2113,20290,15,1481,8200,7954,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",35092,1124
1761,Rockhurst University,Kansas City,MO,0.6646,41701,13,1732,10280,17680,"City, Population Size >= 250,000",55483,1220
1762,Saint Louis University,Saint Louis,MO,0.8471,50644,9,7332,13890,13890,"City, Population Size >= 250,000",57234,1340
1764,University of Health Sciences and Pharmacy in St. Louis,Saint Louis,MO,0.9158,31280,7,264,14500,12310,"City, Population Size >= 250,000",122881,1161
1767,Southwest Baptist University,Bolivar,MO,0.9955,27038,11,1475,8290,7884,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",36513,1081
1771,Stephens College,Columbia,MO,0.6415,25586,8,404,11488,12148,"City, Population Size between 100,000 and 250,000",35879,1124
1772,Southeast Missouri State University,Cape Girardeau,MO,0.8631,9015,20,7010,9954,9954,"City, Population < 100,000",37047,1055
1773,Missouri State University-Springfield,Springfield,MO,0.9256,8604,19,13332,9782,8768,"City, Population Size between 100,000 and 250,000",39272,1147
1777,Washington University in St Louis,Saint Louis,MO,0.1176,60590,7,7801,18470,18470,"Suburb, Population >= 250,000",75755,1525
1778,Webster University,Saint Louis,MO,0.551,29840,12,2174,12398,13200,"Suburb, Population >= 250,000",40383,1153
1779,Westminster College,Fulton,MO,0.7528,33144,9,607,11762,11762,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",40317,1049
1780,William Jewell College,Liberty,MO,0.4099,19610,10,824,10130,12843,"Suburb, Population >= 250,000",48778,1146
1787,Carroll College,Helena,MT,0.7808,39028,12,1108,11182,11182,"City, Population < 100,000",46331,1108
1795,University of Providence,Great Falls,MT,0.9548,27606,7,593,10233,8000,"City, Population < 100,000",36755,1010
1799,Montana Technological University,Butte,MT,0.8947,7580,13,1424,10741,10741,"Rural Town, Urban Cluster 35 miles away from an urban area",45530,1131
1800,Montana State University,Bozeman,MT,0.7333,7727,18,14343,11300,11300,"City, Population < 100,000",40452,1158
1803,Rocky Mountain College,Billings,MT,0.7517,32252,13,834,9120,9119,"City, Population Size between 100,000 and 250,000",41343,1054
1812,Concordia University-Nebraska,Seward,NE,0.9084,37720,12,1138,10050,10050,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",39920,1116
1813,Creighton University,Omaha,NE,0.7569,45590,11,4261,11830,11830,"City, Population Size >= 250,000",59761,1344
1815,Hastings College,Hastings,NE,0.7133,34580,12,918,11190,10190,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43164,1250
1818,University of Nebraska at Kearney,Kearney,NE,0.8599,7984,13,4159,11390,11390,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41956,1119
1822,Midland University,Fremont,NE,0.649,38300,14,1204,10066,10066,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43102,1087
1823,University of Nebraska at Omaha,Omaha,NE,0.8586,8136,15,11866,10642,10642,"City, Population Size >= 250,000",44022,1120
1826,Nebraska Wesleyan University,Lincoln,NE,0.8148,39868,11,1530,11374,11930,"City, Population Size >= 250,000",45775,1201
1827,University of Nebraska-Lincoln,Lincoln,NE,0.7864,9872,16,19097,12430,12430,"City, Population Size >= 250,000",45872,1192
1831,College of Saint Mary,Omaha,NE,0.6458,22450,8,502,8240,11632,"City, Population Size >= 250,000",50836,1050
1833,Union Adventist University,Lincoln,NE,0.9883,27170,8,475,7750,12000,"City, Population Size >= 250,000",38815,1082
1837,York University,York,NE,0.5729,20900,11,442,9000,7620,"Rural Town, Urban Cluster 35 miles away from an urban area",34302,1021
1842,University of Nevada-Las Vegas,Las Vegas,NV,0.8531,8947,18,24329,11512,12710,"City, Population Size between 100,000 and 250,000",43306,1092
1851,Franklin Pierce University,Rindge,NH,0.9272,43155,12,1115,15300,15000,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",45422,1095
1859,University of New Hampshire-Main Campus,Durham,NH,0.8699,19024,16,11396,12676,12676,"Fringe Town, Urban cluster that is 10 miles from an urban area",52890,1217
1861,University of New Hampshire at Manchester,Manchester,NH,0.8528,15804,7,507,14968,12570,"City, Population Size between 100,000 and 250,000",52890,1090
1872,Saint Anselm College,Manchester,NH,0.823,45340,11,1955,16000,13250,"Suburb, Population between 100,000 and 250,000",58952,1218
1883,Bloomfield College,Bloomfield,NJ,0.7818,30680,13,1149,12900,14254,"Suburb, Population >= 250,000",36993,862
1886,Caldwell University,Caldwell,NJ,0.6637,38050,13,1595,13399,14000,"Suburb, Population >= 250,000",42421,1136
1894,Drew University,Madison,NJ,0.7266,44174,12,1419,16402,16402,"Suburb, Population >= 250,000",45335,1245
1898,Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,0.8409,34404,13,2415,15588,15588,"Suburb, Population >= 250,000",44783,1059
1899,Felician University,Lodi,NJ,0.8915,36410,13,1696,13660,11700,"Suburb, Population >= 250,000",46671,1037
1900,Fairleigh Dickinson University-Florham Campus,Madison,NJ,0.8912,34404,9,2012,15588,15588,"Suburb, Population >= 250,000",44783,1178
1902,Georgian Court University,Lakewood,NJ,0.7579,35516,10,1166,12296,9882,"City, Population < 100,000",41948,1115
1903,Rowan University,Glassboro,NJ,0.7694,14952,16,14914,15956,9854,"Suburb, Population >= 250,000",50231,1197
1911,Kean University,Union,NJ,0.826,12972,16,10524,14834,9800,"Suburb, Population >= 250,000",46236,1016
1916,Monmouth University,West Long Branch,NJ,0.9092,43216,12,3799,15873,9955,"Suburb, Population >= 250,000",54123,1203
1917,Montclair State University,Montclair,NJ,0.9131,13762,17,16902,16170,17318,"Suburb, Population >= 250,000",48078,1080
1922,New Jersey Institute of Technology,Newark,NJ,0.6599,18512,15,8365,14600,12200,"City, Population Size >= 250,000",68192,1325
1931,Ramapo College of New Jersey,Mahwah,NJ,0.7047,15363,16,4611,15528,11428,"Suburb, Population >= 250,000",52446,1214
1933,Rider University,Lawrenceville,NJ,0.8413,37200,10,3105,16130,6300,"Suburb, Population >= 250,000",50668,1214
1934,Rutgers University-Camden,Camden,NJ,0.7652,16112,13,4077,12923,17878,"City, Population < 100,000",58494,1168
1935,Rutgers University-New Brunswick,New Brunswick,NJ,0.6629,16263,15,36090,13909,17878,"City, Population < 100,000",58494,1374
1941,Seton Hall University,South Orange,NJ,0.7507,48960,14,5874,16532,16532,"Suburb, Population >= 250,000",57189,1317
1945,Stevens Institute of Technology,Hoboken,NJ,0.4622,58624,11,4054,17080,17080,"Suburb, Population >= 250,000",88405,1455
1946,Stockton University,Galloway,NJ,0.8554,15188,16,8105,13564,8956,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",47708,1150
1950,The College of New Jersey,Ewing,NJ,0.6443,17978,13,6840,14144,14144,"Suburb, Population >= 250,000",60838,1283
1952,William Paterson University of New Jersey,Wayne,NJ,0.9153,14624,15,6591,13160,11330,"Suburb, Population >= 250,000",45279,1150
1958,Eastern New Mexico University-Main Campus,Portales,NM,0.2755,6863,16,2899,8170,7842,"Rural Town, Urban Cluster 35 miles away from an urban area",31638,961
1967,University of New Mexico-Main Campus,Albuquerque,NM,0.9607,8076,17,15642,10916,10916,"City, Population Size >= 250,000",34861,1090
1971,New Mexico State University-Main Campus,Las Cruces,NM,0.7805,7627,16,11065,11252,9865,"Suburb, Population between 100,000 and 250,000",30836,1031
1984,Adelphi University,Garden City,NY,0.7278,43800,12,5004,18016,16100,"Suburb, Population >= 250,000",60750,1233
1987,Albany College of Pharmacy and Health Sciences,Albany,NY,0.6629,38225,8,584,11600,11900,"City, Population Size between 100,000 and 250,000",117456,1320
1990,Alfred University,Alfred,NY,0.5061,37644,10,1305,13560,13560,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",43208,1211
2002,Barnard College,New York,NY,0.0879,62525,10,3126,19364,19364,"City, Population Size >= 250,000",66077,1495
2017,Canisius University,Buffalo,NY,0.7773,31800,11,1750,12158,8000,"City, Population Size >= 250,000",46737,1200
2025,Clarkson University,Potsdam,NY,0.7842,56258,14,2587,16744,17006,"Rural Town, Urban Cluster 35 miles away from an urban area",69155,1282
2031,Columbia University in the City of New York,New York,NY,0.0395,66139,6,8902,16286,16212,"City, Population Size >= 250,000",83776,1540
2035,The Cooper Union for the Advancement of Science and Art,New York,NY,0.2247,46820,9,892,18226,15910,"City, Population Size >= 250,000",39123,1472
2036,Cornell University,Ithaca,NY,0.0747,63200,9,15676,16988,16988,"City, Population < 100,000",85814,1527
2040,Culinary Institute of America,Hyde Park,NY,0.9486,36620,20,3005,13110,11980,"Suburb, Population >= 250,000",40171,1110
2061,D'Youville  University,Buffalo,NY,0.8404,31170,7,1372,9500,9500,"City, Population Size >= 250,000",55755,1132
2064,Dominican University New York,Orangeburg,NY,0.8897,32120,13,1079,14020,10000,"Suburb, Population >= 250,000",45687,1080
2067,Elmira College,Elmira,NY,0.9595,37004,7,603,13388,2500,"City, Population < 100,000",47293,1220
2072,Fordham University,Bronx,NY,0.5413,58467,14,9843,21060,13743,"City, Population Size >= 250,000",63774,1411
2077,Hartwick College,Oneonta,NY,0.5972,51309,10,1085,14028,6000,"Rural Town, Urban Cluster 35 miles away from an urban area",44991,1112
2081,Hobart William Smith Colleges,Geneva,NY,0.6838,61725,8,1539,16910,14875,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",56339,1339
2082,Hofstra University,Hempstead,NY,0.6933,53330,13,6051,17168,23890,"Suburb, Population >= 250,000",53862,1285
2083,Houghton University,Houghton,NY,0.77,16446,10,745,10336,7000,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",36029,1200
2086,Iona University,New Rochelle,NY,0.964,44328,15,2633,17740,17740,"Suburb, Population >= 250,000",54390,1122
2089,Ithaca College,Ithaca,NY,0.752,48276,10,4601,15934,15934,"Suburb, Population < 100,000",49433,1308
2096,Keuka College,Keuka Park,NY,0.9279,36191,12,983,12691,10320,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",46087,1042
2097,LIM College,New York,NY,0.8382,30610,15,1075,18625,15700,"City, Population Size >= 250,000",52957,1067
2098,Le Moyne College,Syracuse,NY,0.7828,37450,12,2459,15050,15050,"Suburb, Population >= 250,000",51481,1226
2099,Long Island University,Brookville,NY,0.9265,38868,13,5751,16876,25000,"Suburb, Population >= 250,000",45151,1219
2104,Manhattan College,Riverdale,NY,0.823,48658,11,3066,18440,18440,"City, Population Size >= 250,000",68472,1245
2109,Marist College,Poughkeepsie,NY,0.6285,44560,16,5069,17150,18800,"Suburb, Population >= 250,000",59015,1288
2110,Marymount Manhattan College,New York,NY,0.7209,38718,8,1568,19714,13200,"City, Population Size >= 250,000",36178,1205
2111,Medaille University,Buffalo,NY,0.688,34000,15,1185,14000,10313,"City, Population Size >= 250,000",36957,1050
2114,Mercy University,Dobbs Ferry,NY,0.8586,21358,15,5510,14200,9314,"Suburb, Population >= 250,000",40371,1124
2122,Molloy College,Rockville Centre,NY,0.7663,36030,10,3207,17120,9436,"Suburb, Population >= 250,000",69985,1202
2125,Mount Saint Mary College,Newburgh,NY,0.8829,37940,12,1466,17916,12912,"City, Population < 100,000",56772,1130
2127,University of Mount Saint Vincent,Bronx,NY,0.8889,40980,14,2233,13500,13500,"City, Population Size >= 250,000",55264,1098
2130,Nazareth University,Rochester,NY,0.8394,39310,8,1978,15190,15190,"Suburb, Population >= 250,000",46127,1240
2138,New York University,New York,NY,0.1246,58168,8,29136,20272,20272,"City, Population Size >= 250,000",63932,1527
2140,Niagara University,Niagara University,NY,0.8955,37180,11,2668,12700,9400,"Suburb, Population >= 250,000",43710,1143
2144,New York Institute of Technology,Old Westbury,NY,0.7572,42000,13,3279,16600,17150,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",54041,1263
2151,Pace University,New York,NY,0.8293,50026,14,7766,20480,24000,"City, Population Size >= 250,000",54152,1220
2156,Pratt Institute-Main,Brooklyn,NY,0.5045,57599,9,3887,15408,21308,"City, Population Size >= 250,000",42375,1317
2164,Roberts Wesleyan University,Rochester,NY,0.995,36124,13,1033,11792,9684,"Suburb, Population >= 250,000",47821,1294
2165,Rochester Institute of Technology,Rochester,NY,0.6717,54518,13,13152,14978,14978,"Suburb, Population >= 250,000",61886,1370
2172,St Bonaventure University,Saint Bonaventure,NY,0.8111,38770,11,1791,14450,14725,"Rural Town, Urban Cluster 35 miles away from an urban area",46165,1165
2175,St Lawrence University,Canton,NY,0.635,62020,11,2130,15995,6750,"Rural Town, Urban Cluster 35 miles away from an urban area",47088,1333
2176,The College of Saint Rose,Albany,NY,0.7801,36398,14,1420,14186,14186,"City, Population Size between 100,000 and 250,000",44981,1155
2177,St. Thomas Aquinas College,Sparkill,NY,0.8861,36300,15,1016,15370,6000,"Suburb, Population >= 250,000",41028,1110
2179,Sarah Lawrence College,Bronxville,NY,0.4988,61234,11,1417,16780,16358,"Suburb, Population >= 250,000",32157,1358
2182,Siena College,Loudonville,NY,0.8035,41980,13,3480,16610,11082,"Suburb, Population >= 250,000",58586,1167
2187,St. John Fisher University,Rochester,NY,0.7305,37748,12,2616,13666,13666,"Suburb, Population >= 250,000",53809,1184
2189,St. John's University-New York,Queens,NY,0.8467,47830,16,10081,18790,13255,"City, Population Size >= 250,000",51172,1218
2191,SUNY College of Technology at Alfred,Alfred,NY,0.8174,8862,16,3334,13620,10207,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",43071,1088
2194,SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,0.8403,8676,14,1774,15310,15310,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",37849,1041
2195,Farmingdale State College,Farmingdale,NY,0.7317,8576,18,8915,14148,14193,"Suburb, Population >= 250,000",55094,1081
2197,University at Albany,Albany,NY,0.679,10408,17,12175,15598,15430,"City, Population Size between 100,000 and 250,000",51029,1193
2198,Binghamton University,Vestal,NY,0.4175,10363,19,14398,17506,17506,"Suburb, Population between 100,000 and 250,000",62589,1426
2199,University at Buffalo,Buffalo,NY,0.6771,10782,12,20569,16212,14672,"Suburb, Population >= 250,000",53266,1288
2200,Stony Brook University,Stony Brook,NY,0.4914,10560,19,17406,16408,16732,"Suburb, Population >= 250,000",57129,1410
2203,SUNY Brockport,Brockport,NY,0.6794,8620,18,5107,15442,11566,"Fringe Town, Urban cluster that is 10 miles from an urban area",43805,1156
2204,SUNY Buffalo State University,Buffalo,NY,0.8598,8486,13,5370,14386,14386,"City, Population Size >= 250,000",39620,1065
2206,SUNY at Fredonia,Fredonia,NY,0.8458,8767,12,3193,14180,14180,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41453,1166
2207,SUNY College at Geneseo,Geneseo,NY,0.7493,8966,16,4078,14166,13831,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",48467,1272
2208,State University of New York at New Paltz,New Paltz,NY,0.5827,8524,16,5990,15024,15024,"Fringe Town, Urban cluster that is 10 miles from an urban area",45805,1254
2209,SUNY Oneonta,Oneonta,NY,0.7253,8775,15,4849,15070,15070,"Rural Town, Urban Cluster 35 miles away from an urban area",48687,1184
2210,State University of New York at Oswego,Oswego,NY,0.8256,8769,16,5957,15440,15440,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",44760,1174
2212,SUNY at Purchase College,Purchase,NY,0.7468,8953,11,3050,14948,14948,"Suburb, Population >= 250,000",36369,1281
2214,SUNY Old Westbury,Old Westbury,NY,0.921,8368,16,3800,11530,25192,"Suburb, Population >= 250,000",47830,1110
2215,SUNY College at Plattsburgh,Plattsburgh,NY,0.7024,8881,15,3925,15380,15380,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",46385,1160
2218,SUNY Maritime College,Throggs Neck,NY,0.8033,8540,14,1291,15240,15240,"City, Population Size >= 250,000",78342,1211
2221,Syracuse University,Syracuse,NY,0.5175,60135,15,15071,17170,17170,"City, Population Size between 100,000 and 250,000",61077,1359
2227,Touro University,New York,NY,0.7131,21170,9,4005,7010,21900,"City, Population Size >= 250,000",41127,1343
2231,Union College,Schenectady,NY,0.4651,63954,9,2077,15768,14268,"City, Population < 100,000",68831,1396
2236,Utica University,Utica,NY,0.809,24308,11,2526,12667,12500,"City, Population < 100,000",55348,1192
2237,Vassar College,Poughkeepsie,NY,0.1866,64800,7,2430,16560,17060,"Suburb, Population >= 250,000",45562,1487
2239,School of Visual Arts,New York,NY,0.8741,46800,8,3518,23200,23200,"City, Population Size >= 250,000",33143,1298
2240,Wagner College,Staten Island,NY,0.6854,51260,14,1638,15280,15280,"City, Population Size >= 250,000",59782,1202
2251,Yeshiva University,New York,NY,0.6322,48800,7,2820,13850,13283,"City, Population Size >= 250,000",58983,1405
2256,Appalachian State University,Boone,NC,0.8308,7450,16,18467,11582,12110,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41309,1187
2260,Belmont Abbey College,Belmont,NC,0.9717,18500,12,1413,11658,8000,"Suburb, Population between 100,000 and 250,000",39782,1068
2264,Brevard College,Brevard,NC,0.3989,30250,10,731,12400,7750,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",34299,1077
2271,Catawba College,Salisbury,NC,0.6708,32868,11,1076,11576,9048,"Suburb, Population >= 250,000",37854,1124
2275,Chowan University,Murfreesboro,NC,0.8668,25880,16,800,9650,9650,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",30303,1052
2285,Elizabeth City State University,Elizabeth City,NC,0.7415,3356,16,1912,8727,7710,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",30939,1003
2286,Elon University,Elon,NC,0.7446,42241,11,6337,13886,13886,"Suburb, Population between 100,000 and 250,000",54056,1278
2288,Fayetteville State University,Fayetteville,NC,0.8124,3906,18,5218,9440,9066,"City, Population Size between 100,000 and 250,000",33500,915
2290,Gardner-Webb University,Boiling Springs,NC,0.7495,32200,11,1811,10770,5700,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",40409,1114
2293,Guilford College,Greensboro,NC,0.8351,41140,12,1022,12900,12900,"City, Population Size >= 250,000",37766,1079
2298,High Point University,High Point,NC,0.7888,41916,17,4965,16524,12000,"City, Population Size between 100,000 and 250,000",49281,1220
2307,Livingstone College,Salisbury,NC,0.6377,18296,13,839,6794,3262,"Suburb, Population >= 250,000",25387,887
2313,Meredith College,Raleigh,NC,0.7318,42540,10,1294,12544,12544,"City, Population Size >= 250,000",42030,1220
2314,Methodist University,Fayetteville,NC,0.7568,38138,9,1442,12828,9000,"City, Population Size between 100,000 and 250,000",37358,1183
2323,North Carolina A & T State University,Greensboro,NC,0.5639,6733,19,11553,9179,10708,"City, Population Size >= 250,000",34936,1050
2324,University of North Carolina Asheville,Asheville,NC,0.7431,7380,12,2803,10556,10556,"City, Population < 100,000",35474,1210
2325,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.1711,8989,17,19921,12254,12254,"City, Population < 100,000",52831,1449
2326,University of North Carolina at Charlotte,Charlotte,NC,0.7964,7214,20,23063,12896,12858,"City, Population Size >= 250,000",44858,1162
2327,University of North Carolina at Greensboro,Greensboro,NC,0.9194,7498,17,13862,9924,9924,"City, Population Size >= 250,000",38795,1190
2328,North Carolina Central University,Durham,NC,0.8438,6599,14,5101,11864,11864,"City, Population Size >= 250,000",33054,976
2329,University of North Carolina School of the Arts,Winston Salem,NC,0.3178,9388,6,915,12902,12902,"City, Population Size >= 250,000",30390,1256
2330,North Carolina State University at Raleigh,Raleigh,NC,0.4717,9128,16,25109,12748,12748,"City, Population Size >= 250,000",54811,1370
2332,University of North Carolina Wilmington,Wilmington,NC,0.6883,7238,17,13960,12120,12120,"City, Population Size between 100,000 and 250,000",44324,1266
2334,William Peace University,Raleigh,NC,0.6318,33050,11,640,12040,9012,"City, Population Size >= 250,000",35641,1133
2336,Pfeiffer University,Misenheimer,NC,0.6905,33290,14,683,12520,12520,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",40783,1050
2339,Queens University of Charlotte,Charlotte,NC,0.7127,40830,9,1301,14026,15368,"City, Population Size >= 250,000",43145,1193
2364,Warren Wilson College,Swannanoa,NC,0.8398,38450,8,697,12050,10800,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",27395,1320
2370,Wingate University,Wingate,NC,0.8615,40806,15,2509,10444,13430,"Suburb, Population >= 250,000",41480,1084
2373,Winston-Salem State University,Winston-Salem,NC,0.7339,6276,15,4449,11220,10057,"City, Population Size >= 250,000",37148,921
2374,Western Carolina University,Cullowhee,NC,0.8484,4453,16,9809,11173,12065,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",39995,1127
2377,Dickinson State University,Dickinson,ND,0.7202,9118,13,1148,7740,7740,"Rural Town, Urban Cluster 35 miles away from an urban area",43987,1018
2383,University of Mary,Bismarck,ND,0.8139,21062,14,2149,8220,11806,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",47666,1195
2385,Minot State University,Minot,ND,0.9317,8508,10,2168,7180,7168,"City, Population < 100,000",43516,1025
2389,North Dakota State University-Main Campus,Fargo,ND,0.9568,10992,17,9795,9300,9300,"City, Population Size between 100,000 and 250,000",51147,1120
2392,Trinity Bible College and Graduate School,Ellendale,ND,0.4444,18216,11,162,6758,8300,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",28803,1050
2395,Valley City State University,Valley City,ND,0.8345,8458,12,914,6957,6957,"Rural Town, Urban Cluster 35 miles away from an urban area",43155,1022
2399,University of Akron Main Campus,Akron,OH,0.8287,12427,16,10099,12410,11490,"City, Population Size between 100,000 and 250,000",37152,1114
2405,Ashland University,Ashland,OH,0.7176,24140,11,2332,11440,5500,"Fringe Town, Urban cluster that is 10 miles from an urban area",43348,1151
2410,Baldwin Wallace University,Berea,OH,0.7704,36850,9,2708,12796,11264,"Suburb, Population >= 250,000",42124,1161
2412,Bluffton University,Bluffton,OH,0.9629,35516,11,649,11602,8140,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",40286,980
2414,Bowling Green State University-Main Campus,Bowling Green,OH,0.7866,13639,17,12223,12584,8614,"Fringe Town, Urban cluster that is 10 miles from an urban area",39486,1116
2419,Capital University,Columbus,OH,0.7215,40350,9,1905,12308,11652,"Suburb, Population >= 250,000",43290,1092
2420,Case Western Reserve University,Cleveland,OH,0.2741,61584,9,5927,17220,10048,"City, Population Size >= 250,000",70442,1487
2421,Cedarville University,Cedarville,OH,0.6488,34698,16,3851,8400,8400,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",46118,1250
2429,University of Cincinnati-Main Campus,Cincinnati,OH,0.8622,13176,18,27880,12852,12852,"City, Population Size >= 250,000",44934,1252
2435,Cleveland Institute of Art,Cleveland,OH,0.6984,46460,8,575,12230,12230,"City, Population Size >= 250,000",30182,1190
2437,Cleveland State University,Cleveland,OH,0.8532,12254,16,9502,14197,15090,"City, Population Size >= 250,000",42284,1020
2444,University of Dayton,Dayton,OH,0.7405,46170,15,8349,15390,15390,"City, Population Size between 100,000 and 250,000",61442,1284
2445,Defiance College,Defiance,OH,0.6286,35328,10,478,10940,10940,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",37337,1020
2446,Denison University,Granville,OH,0.2196,60000,9,2406,14400,14400,"Suburb, Population < 100,000",49317,1389
2465,John Carroll University,University Heights,OH,0.8237,47290,14,2358,13200,8500,"Suburb, Population >= 250,000",54806,1264
2474,Kent State University at Kent,Kent,OH,0.8802,12464,19,19179,12676,8882,"Suburb, Population >= 250,000",37188,1093
2477,Kettering College,Kettering,OH,0.3441,14664,8,572,8538,15424,"City, Population < 100,000",57446,1050
2478,Lake Erie College,Painesville,OH,0.541,35024,11,662,10842,15180,"Suburb, Population >= 250,000",38736,1129
2486,Malone University,Canton,OH,0.7756,34875,11,818,10800,10000,"City, Population < 100,000",40622,1091
2487,Marietta College,Marietta,OH,0.8285,38022,9,1064,11946,4273,"Fringe Town, Urban cluster that is 10 miles from an urban area",45560,1075
2494,Miami University-Oxford,Oxford,OH,0.8792,17264,15,16721,15824,15824,"Fringe Town, Urban cluster that is 10 miles from an urban area",45215,1312
2498,University of Mount Union,Alliance,OH,0.7575,33800,12,1867,11200,7650,"Fringe Town, Urban cluster that is 10 miles from an urban area",45726,1107
2499,Mount Vernon Nazarene University,Mount Vernon,OH,0.8533,34168,11,1481,9612,4650,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",39891,1119
2500,Mount St. Joseph University,Cincinnati,OH,0.5435,34900,10,1045,10650,9000,"Suburb, Population >= 250,000",41142,1183
2502,Muskingum University,New Concord,OH,0.8639,30690,13,1436,12500,12500,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",38099,1024
2511,Oberlin College,Oberlin,OH,0.3487,62024,9,2986,18390,12270,"Fringe Town, Urban cluster that is 10 miles from an urban area",35126,1446
2513,Ohio Dominican University,Columbus,OH,0.5242,33350,13,795,11850,6800,"City, Population Size >= 250,000",41542,1220
2514,Ohio Northern University,Ada,OH,0.5437,36730,13,2402,12900,9342,"Fringe Town, Urban cluster that is 10 miles from an urban area",61102,1282
2524,Ohio State University-Main Campus,Columbus,OH,0.5272,12485,17,45140,14006,11952,"City, Population Size >= 250,000",47999,1386
2529,Ohio University-Main Campus,Athens,OH,0.8652,13352,18,17611,12336,12336,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43819,1188
2533,Ohio Wesleyan University,Delaware,OH,0.5218,49822,11,1401,13745,7000,"Suburb, Population >= 250,000",42255,1239
2534,Otterbein University,Westerville,OH,0.8368,34274,12,2097,11988,8294,"Suburb, Population >= 250,000",44680,1146
2552,Franciscan University of Steubenville,Steubenville,OH,0.6665,31080,16,2605,9390,5800,"City, Population < 100,000",41555,1214
2557,University of Toledo,Toledo,OH,0.9223,12020,17,10787,14148,7780,"City, Population Size >= 250,000",40268,1199
